date,temp_avg,temp_min,temp_max,pressure,humidity,wind_speed,precipitation
2018-08-10,21.06047619047619,11.25,27.25,1025.0,39.0,3.6190476190476177,0
2018-08-11,21.09125,12.97,27.25,1019.0,36.0,4.666666666666667,0
2018-08-12,21.114583333333336,13.99,27.5,1010.0,36.0,5.291666666666667,0
2018-08-13,17.82625,13.34,21.5,1010.0,40.0,7.166666666666668,0
2018-08-14,18.04333333333333,11.34,24.0,1011.0,36.0,3.333333333333333,0
2018-08-15,18.95875,14.98,24.75,1009.0,53.0,3.5416666666666665,9
2018-08-16,17.855416666666667,15.69,19.76,1010.0,77.0,3.4166666666666665,0
2018-08-17,17.245,11.69,22.26,1021.0,43.0,2.7916666666666665,0
2018-08-18,17.670833333333334,10.0,23.75,1022.0,38.0,2.083333333333333,0
2018-08-19,19.345416666666672,10.99,26.0,1016.0,41.0,3.0,1
2018-08-20,20.08333333333333,16.02,24.51,1012.0,56.0,4.416666666666667,0
2018-08-21,18.02458333333333,14.26,22.04,1000.0,59.0,4.833333333333333,6
2018-08-22,14.11375,9.75,18.75,1007.0,39.0,6.125,0
2018-08-23,13.672083333333333,6.5,19.75,1020.0,40.0,3.7083333333333335,0
2018-08-24,15.912083333333333,7.99,23.0,1018.0,40.0,2.708333333333333,0
2018-08-25,18.27625,10.0,25.5,1015.0,33.0,2.583333333333333,0
2018-08-26,19.195833333333333,10.31,27.26,1015.0,28.0,2.458333333333333,0
2018-08-27,20.058333333333334,10.74,28.75,1015.0,26.0,2.5416666666666665,0
2018-08-28,20.784166666666668,11.31,29.26,1016.0,25.0,2.333333333333333,0
2018-08-29,22.17375,14.31,29.26,1017.0,26.0,2.958333333333333,0
2018-08-30,19.32,13.99,24.26,1018.0,40.0,2.7916666666666665,3
2018-08-31,18.219166666666666,14.75,22.5,1019.0,41.0,1.9583333333333333,9
2018-09-01,17.625,10.75,23.5,1023.0,38.0,2.375,0
2018-09-02,18.37333333333334,11.67,24.25,1026.0,38.0,2.458333333333333,0
2018-09-03,18.14625,14.5,21.76,1025.0,49.0,3.1666666666666665,3
2018-09-04,18.192083333333333,13.74,23.01,1023.0,49.0,4.416666666666667,1
2018-09-05,19.2725,12.74,26.26,1022.0,39.0,4.041666666666667,0
2018-09-06,18.67739130434783,12.66,25.0,1021.0,36.0,3.782608695652174,0
2018-09-07,17.27916666666667,11.99,23.76,1021.0,35.0,2.583333333333333,0
2018-09-08,16.961250000000003,9.32,25.01,1021.0,29.0,1.6666666666666667,0
2018-09-09,17.053333333333335,8.99,24.26,1020.0,31.0,1.5833333333333333,0
2018-09-10,15.02625,12.32,18.25,1021.0,60.0,4.166666666666667,3
2018-09-11,16.714166666666664,13.0,20.77,1021.0,72.0,4.125,9
2018-09-12,17.46875,14.31,19.76,1013.0,51.0,5.75,4
2018-09-13,17.06458333333333,11.25,20.5,1011.0,40.0,6.333333333333332,5
2018-09-14,13.404166666666667,7.33,20.0,1018.0,40.0,2.0416666666666665,0
2018-09-15,16.122916666666665,10.23,22.25,1015.0,40.0,1.9166666666666667,1
2018-09-16,14.022916666666665,12.26,16.26,1009.0,58.0,3.333333333333333,8
2018-09-17,12.105416666666665,7.01,17.25,1013.0,39.0,4.791666666666667,0
2018-09-18,13.00625,8.76,17.5,1012.0,51.0,5.708333333333332,6
2018-09-19,15.064999999999998,6.96,23.75,1013.0,43.0,5.291666666666667,0
2018-09-20,17.54958333333333,12.99,23.0,1012.0,43.0,4.5,0
2018-09-21,17.114166666666666,9.75,24.5,1016.0,47.0,2.458333333333333,0
2018-09-22,18.44625,12.48,26.0,1008.0,41.0,3.583333333333333,0
2018-09-23,12.672499999999998,8.75,17.98,1005.0,56.0,4.916666666666667,8
2018-09-24,8.106666666666667,5.33,11.5,994.0,81.0,4.041666666666667,10
2018-09-25,7.925833333333334,6.01,10.76,991.0,87.0,7.5,21
2018-09-26,7.1429166666666655,3.03,11.5,1012.0,50.0,5.708333333333332,3
2018-09-27,8.049583333333333,5.0,13.5,999.0,54.0,8.375,14
2018-09-28,9.42478260869565,6.33,14.5,996.0,70.0,6.913043478260869,9
2018-09-29,5.569583333333334,2.49,8.5,1007.0,56.0,4.708333333333333,0
2018-09-30,5.215,-1.0,11.0,1018.0,50.0,5.0,0
2018-10-01,8.953333333333337,6.24,13.75,1017.0,47.0,5.125,0
