date,temp_avg,temp_min,temp_max,pressure,humidity,wind_speed,precipitation
2018-08-18,20.714285714285715,14.0,27.0,1015.0,47.0,4.476190476190476,0
2018-08-19,18.583333333333332,17.0,23.0,1010.0,49.0,4.791666666666667,6
2018-08-20,16.625,14.0,21.0,1001.0,52.0,3.5833333333333335,7
2018-08-21,14.764166666666668,12.0,17.0,991.0,62.0,7.041666666666667,10
2018-08-22,14.5,10.0,18.0,1008.0,42.0,6.25,0
2018-08-23,18.0,12.0,24.0,1013.0,43.0,6.333333333333333,0
2018-08-24,20.083333333333332,13.0,26.0,1009.0,41.0,4.75,0
2018-08-25,18.541666666666668,15.0,23.0,1007.0,64.0,3.7083333333333335,1
2018-08-26,14.833333333333334,13.0,18.0,1007.0,77.0,1.9166666666666667,9
2018-08-27,15.875,13.0,20.0,1011.0,56.0,2.5833333333333335,3
2018-08-28,16.077083333333334,11.0,21.0,1016.0,49.0,1.2916666666666667,1
2018-08-29,14.708333333333334,10.0,18.0,1019.0,68.0,3.25,7
2018-08-30,16.833333333333332,15.0,21.0,1017.0,68.0,3.125,2
2018-08-31,15.291666666666666,10.0,20.0,1018.0,64.0,1.2916666666666667,0
2018-09-01,16.208333333333332,11.0,21.0,1022.0,68.0,2.625,2
2018-09-02,18.416666666666668,15.0,21.0,1024.0,64.0,2.0416666666666665,0
2018-09-03,17.25,13.0,22.0,1025.0,60.0,2.0,0
2018-09-04,16.375,13.0,20.0,1019.0,77.0,3.0833333333333335,3
2018-09-05,18.125,15.0,22.0,1018.0,73.0,2.375,3
2018-09-06,18.416666666666668,14.0,25.0,1019.0,50.0,1.7083333333333333,0
2018-09-07,19.583333333333332,14.0,27.0,1018.0,44.0,2.4166666666666665,0
2018-09-08,18.041666666666668,14.0,23.0,1020.0,68.0,2.9166666666666665,0
2018-09-09,15.708333333333334,13.0,19.0,1022.0,72.0,3.125,0
2018-09-10,13.166666666666666,9.0,19.0,1024.0,52.0,3.5833333333333335,0
2018-09-11,13.208333333333334,8.0,20.0,1012.0,63.0,4.583333333333333,0
2018-09-12,16.375,13.0,19.0,998.0,52.0,7.333333333333333,7
2018-09-13,12.958333333333334,10.0,16.0,1001.0,59.0,7.125,8
2018-09-14,13.083333333333334,9.0,17.0,1013.0,59.0,4.333333333333333,0
2018-09-15,14.125,10.0,19.0,1012.0,48.0,4.666666666666667,0
2018-09-16,12.916666666666666,10.0,15.0,1008.0,51.0,5.125,6
2018-09-17,11.333333333333334,8.0,14.0,1003.0,76.0,5.625,9
2018-09-18,13.791666666666666,11.0,16.0,1004.0,51.0,5.916666666666667,2
2018-09-19,17.0,12.0,24.0,1006.0,53.0,3.6666666666666665,1
2018-09-20,17.166666666666668,13.0,22.0,1008.0,60.0,4.875,0
2018-09-21,17.958333333333332,15.0,22.0,1008.0,60.0,4.583333333333333,0
2018-09-22,15.375,12.0,20.0,999.0,63.0,5.583333333333333,2
2018-09-23,10.5,8.0,13.0,999.0,62.0,3.9166666666666665,1
2018-09-24,9.291666666666666,6.0,13.0,1000.0,54.0,2.9166666666666665,1
2018-09-25,7.458333333333333,4.0,11.0,1004.0,43.0,6.208333333333333,0
