date,temp_avg,temp_min,temp_max,pressure,humidity,wind_speed,precipitation
2018-08-12,20.203809523809518,12.34,27.8,1014.0,37.0,3.7509523809523806,0
2018-08-13,18.027083333333334,11.86,23.08,1013.0,38.0,2.345833333333333,0
2018-08-14,19.046666666666674,11.55,26.22,1013.0,45.0,2.25875,0
2018-08-15,22.73583333333333,16.21,31.02,1011.0,33.0,3.8745833333333333,0
2018-08-16,20.591666666666665,16.41,25.96,1015.0,45.0,2.143333333333333,2
2018-08-17,19.434166666666666,14.96,24.19,1019.0,54.0,2.583333333333333,0
2018-08-18,19.191666666666666,13.3,25.68,1020.0,37.0,2.5675,0
2018-08-19,19.185416666666665,11.99,26.39,1018.0,34.0,2.4995833333333337,0
2018-08-20,19.524583333333336,12.12,26.35,1014.0,45.0,2.277083333333333,0
2018-08-21,19.728333333333328,14.57,24.99,1009.0,53.0,4.177083333333333,1
2018-08-22,15.1775,9.33,19.92,1014.0,35.0,4.208333333333333,0
2018-08-23,13.71125,6.09,21.06,1022.0,38.0,1.5375,0
2018-08-24,15.72208333333333,6.68,23.97,1017.0,33.0,2.33375,0
2018-08-25,18.327083333333334,9.69,27.32,1013.0,24.0,2.5816666666666666,0
2018-08-26,19.88833333333333,10.77,28.7,1013.0,23.0,2.5187500000000003,0
2018-08-27,20.54458333333333,11.91,29.68,1014.0,24.0,2.3204166666666666,0
2018-08-28,21.55458333333333,12.21,29.75,1015.0,22.0,2.4166666666666665,0
2018-08-29,19.185,13.55,25.33,1015.0,47.0,2.125,4
2018-08-30,17.689166666666665,12.9,22.53,1017.0,53.0,1.66375,3
2018-08-31,17.919999999999995,12.04,24.25,1019.0,50.0,2.5,0
2018-09-01,19.56,13.34,26.33,1022.0,45.0,2.75,0
2018-09-02,21.41083333333334,15.04,29.06,1022.0,43.0,2.083333333333333,0
2018-09-03,20.106666666666676,16.31,25.04,1020.0,47.0,2.0,0
2018-09-04,21.657916666666665,15.53,27.95,1018.0,35.0,3.0416666666666665,0
2018-09-05,21.16958333333333,13.8,27.85,1017.0,19.0,3.2916666666666665,0
2018-09-06,19.867916666666673,13.08,26.94,1016.0,24.0,3.208333333333333,0
2018-09-07,19.37625,12.69,25.97,1017.0,34.0,2.5,0
2018-09-08,18.800416666666667,12.59,25.8,1018.0,34.0,2.47,0
2018-09-09,17.60625,10.09,24.85,1017.0,29.0,2.8479166666666664,0
2018-09-10,17.33583333333333,14.24,21.85,1017.0,46.0,3.5908333333333338,2
2018-09-11,18.8925,14.01,26.58,1019.0,23.0,2.7916666666666665,0
2018-09-12,17.700416666666666,11.86,23.7,1018.0,36.0,2.652083333333333,0
2018-09-13,19.135416666666664,14.0,25.67,1016.0,48.0,2.6083333333333334,0
2018-09-14,16.50916666666667,12.92,21.39,1017.0,63.0,1.6720833333333331,4
2018-09-15,17.249166666666664,12.16,23.54,1013.0,53.0,2.1645833333333337,0
2018-09-16,14.802083333333329,10.21,17.89,1011.0,52.0,4.664166666666667,1
2018-09-17,11.93083333333333,6.3,17.87,1018.0,37.0,3.583333333333333,0
2018-09-18,13.799166666666665,9.36,18.96,1017.0,52.0,3.7395833333333335,0
2018-09-19,15.43875,7.38,23.95,1018.0,41.0,2.8141666666666665,0
2018-09-20,18.435416666666672,12.16,26.01,1017.0,48.0,2.333333333333333,0
2018-09-21,17.695416666666667,9.17,26.07,1019.0,45.0,1.7020833333333332,0
2018-09-22,19.39208333333333,12.11,26.84,1010.0,34.0,3.208333333333333,0
2018-09-23,10.829166666666666,6.89,14.93,1010.0,58.0,4.333333333333333,2
2018-09-24,8.62875,5.96,11.24,997.0,82.0,5.33875,9
2018-09-25,8.419999999999998,4.17,11.18,1001.0,50.0,5.375,1
2018-09-26,6.91875,2.85,11.77,1021.0,40.0,3.5416666666666665,0
2018-09-27,8.48875,5.41,11.93,1010.0,57.0,5.041666666666667,8
2018-09-28,11.569583333333336,7.04,16.49,1008.0,68.0,6.333333333333332,0
2018-09-29,7.339583333333331,3.38,10.23,1012.0,57.0,2.583333333333333,0
2018-09-30,5.369583333333333,1.23,11.57,1023.0,47.0,2.329166666666666,0
2018-10-01,7.0575,0.7,13.96,1017.0,41.0,2.9166666666666665,0
2018-10-02,7.987916666666666,3.54,12.69,1011.0,67.0,1.48375,3
2018-10-03,9.021249999999998,6.14,10.57,1003.0,71.0,2.9166666666666665,2
2018-10-04,6.789999999999999,4.89,8.35,1000.0,76.0,4.916666666666667,9
2018-10-05,5.4987499999999985,0.7,9.5,1016.0,49.0,3.4166666666666665,0
2018-10-06,11.088750000000005,8.48,16.51,1020.0,48.0,4.458333333333333,0
2018-10-07,11.562083333333332,5.77,17.82,1014.0,52.0,4.25,0
2018-10-08,10.01625,6.34,13.56,1013.0,72.0,2.875,4
2018-10-09,6.626666666666666,3.64,11.47,1025.0,62.0,1.6608333333333332,0
2018-10-10,7.385833333333332,0.11,15.03,1025.0,41.0,2.9875000000000003,0
2018-10-11,9.795833333333333,4.31,15.71,1027.0,55.0,2.2670833333333333,0
2018-10-12,8.143333333333334,1.07,16.88,1033.0,42.0,1.4825,0
2018-10-13,9.468749999999998,2.18,17.94,1030.0,34.0,2.125,0
2018-10-14,10.499583333333335,3.94,18.87,1028.0,49.0,2.361666666666667,0
2018-10-15,10.720833333333333,4.56,19.43,1028.0,49.0,1.6866666666666668,0
2018-10-16,9.711249999999998,1.97,19.82,1026.0,46.0,1.649166666666667,0
2018-10-17,11.664166666666668,4.76,21.95,1025.0,43.0,1.92625,0
2018-10-18,11.799166666666665,3.99,21.75,1021.0,46.0,1.4216666666666666,0
2018-10-19,12.697500000000005,7.96,20.08,1016.0,53.0,1.55,0
2018-10-20,8.705833333333336,3.16,12.93,1018.0,44.0,2.427083333333333,0
2018-10-21,4.342083333333333,0.72,8.62,1022.0,66.0,2.333333333333333,0
2018-10-22,3.2825,-0.89,8.97,1018.0,49.0,1.7374999999999998,0
2018-10-23,2.784583333333334,-0.77,5.23,998.0,81.0,3.1387500000000004,7
2018-10-24,4.983333333333333,3.45,7.02,984.0,87.0,3.095,16
2018-10-25,3.2324999999999995,0.24,4.57,986.0,81.0,3.4875000000000003,2
2018-10-26,1.1504166666666666,-2.31,4.53,998.0,70.0,2.3516666666666666,0
2018-10-27,3.690833333333332,1.18,7.36,1007.0,65.0,3.625,1
2018-10-28,6.93375,4.65,8.16,1007.0,66.0,3.0400000000000005,0
2018-10-29,4.575833333333333,3.34,5.01,1021.0,81.0,3.8858333333333337,12
2018-10-30,2.3545833333333333,1.66,3.32,1027.0,87.0,5.541666666666668,2
2018-10-31,2.9325,1.7,3.97,1032.0,93.0,4.583333333333333,4
2018-11-01,4.777083333333335,3.8,5.42,1036.0,93.0,2.958333333333333,0
2018-11-02,5.832500000000002,3.03,8.92,1033.0,71.0,3.25,3
2018-11-03,8.004583333333331,6.91,9.68,1027.0,71.0,3.6666666666666665,5
2018-11-04,7.7775,2.3,10.52,1025.0,62.0,2.5416666666666665,2
2018-11-05,2.8033333333333332,-0.95,8.9,1031.0,57.0,1.2504166666666667,0
2018-11-06,1.3983333333333334,-2.7,8.43,1029.0,61.0,1.8683333333333327,0
2018-11-07,0.6208333333333332,-2.7,3.16,1027.0,92.0,2.1,0
2018-11-08,2.900833333333333,2.11,3.91,1024.0,93.0,2.083333333333333,0
2018-11-09,1.1958333333333333,0.76,2.1,1024.0,97.0,0.9762500000000002,0
2018-11-10,1.4487499999999998,0.86,1.99,1024.0,90.0,1.9991666666666668,1
2018-11-11,0.4875,-2.41,1.84,1030.0,64.0,4.916666666666667,3
2018-11-12,-4.541666666666666,-6.76,-1.98,1041.0,63.0,4.5,0
2018-11-13,-5.562083333333333,-10.07,-1.08,1036.0,34.0,3.125,0
2018-11-14,-2.277083333333333,-5.01,-0.12,1025.0,55.0,4.5,0
2018-11-15,0.03166666666666668,-3.0,2.48,1027.0,51.0,3.083333333333333,5
2018-11-16,-3.305,-7.1,2.07,1040.0,32.0,2.4716666666666662,0
2018-11-17,-3.939166666666667,-9.62,3.82,1032.0,18.0,1.85375,0
2018-11-18,-2.16625,-3.23,-1.52,1022.0,39.0,2.649166666666667,13
2018-11-19,-0.8879166666666668,-2.95,0.92,1026.0,86.0,2.049166666666667,0
2018-11-20,-0.4729166666666666,-1.97,0.31,1027.0,80.0,2.7079166666666663,0
2018-11-21,-2.7162500000000005,-3.73,-1.96,1025.0,80.0,3.379166666666667,0
2018-11-22,-2.79375,-3.56,-2.07,1019.0,69.0,4.98125,0
2018-11-23,-1.7325,-3.75,0.0,1020.0,64.0,3.1,0
2018-11-24,-4.57625,-6.05,-1.85,1019.0,75.0,4.541666666666667,0
2018-11-25,-3.9466666666666654,-5.48,-3.0,1013.0,86.0,2.2916666666666665,13
2018-11-26,-3.5,-4.5,-2.05,1010.0,74.0,2.4166666666666665,5
2018-11-27,-6.54,-11.13,-3.48,1013.0,63.0,1.4154166666666663,0
2018-11-28,-6.024583333333332,-9.41,-3.91,1018.0,68.0,3.583333333333333,4
2018-11-29,-11.1075,-15.66,-6.57,1037.0,73.0,1.8979166666666665,0
2018-11-30,-14.019583333333335,-18.6,-8.71,1041.0,84.0,1.3483333333333332,0
2018-12-01,-9.50625,-13.46,-6.5,1024.0,48.0,4.458333333333333,10
2018-12-02,-6.102083333333333,-7.56,-4.79,1019.0,77.0,2.625,12
2018-12-03,-7.154583333333335,-9.25,-4.64,1019.0,62.0,3.375,0
2018-12-04,-1.8495833333333327,-4.68,0.7,1017.0,81.0,4.333333333333333,0
2018-12-05,-0.4745833333333334,-2.26,0.8,1018.0,80.0,3.210833333333333,1
